opt(-O3),nocache,R,4,63
opt(-O3),nocache,R,64,65
opt(-O3),nocache,R,256,81
opt(-O3),nocache,S,4,61
opt(-O3),nocache,S,64,66
opt(-O3),nocache,S,256,79
opt(-O3),icache,R,4,59
opt(-O3),icache,R,64,59
opt(-O3),icache,R,256,77
opt(-O3),icache,S,4,58
opt(-O3),icache,S,64,60
opt(-O3),icache,S,256,75
opt(-O3),dcache,R,4,63
opt(-O3),dcache,R,64,64
opt(-O3),dcache,R,256,81
opt(-O3),dcache,S,4,61
opt(-O3),dcache,S,64,66
opt(-O3),dcache,S,256,79
opt(-O3),bcache,R,4,58
opt(-O3),bcache,R,64,58
opt(-O3),bcache,R,256,76
opt(-O3),bcache,S,4,57
opt(-O3),bcache,S,64,58
opt(-O3),bcache,S,256,75
noopt,nocache,R,4,300
noopt,nocache,R,64,491
noopt,nocache,R,256,1113
noopt,nocache,S,4,301
noopt,nocache,S,64,494
noopt,nocache,S,256,1119
noopt,icache,R,4,298
noopt,icache,R,64,487
noopt,icache,R,256,1114
noopt,icache,S,4,297
noopt,icache,S,64,489
noopt,icache,S,256,1112
noopt,dcache,R,4,301
noopt,dcache,R,64,492
noopt,dcache,R,256,1112
noopt,dcache,S,4,302
noopt,dcache,S,64,492
noopt,dcache,S,256,1121
noopt,bcache,R,4,297
noopt,bcache,R,64,488
noopt,bcache,R,256,1112
noopt,bcache,S,4,297
noopt,bcache,S,64,486
noopt,bcache,S,256,1114
